,stage,B365H,B365D,B365A,year,on_target_shot_home_team,on_target_shot_away_team,off_target_shot_home_team,off_target_shot_away_team,foul_home_team,foul_away_team,yellow_card_home_team,yellow_card_away_team,red_card_home_team,red_card_away_team,crosses_home_team,crosses_away_team,corner_home_team,corner_away_team,possession_home_team,possession_away_team,home_outcome,starplayer_Away,starplayer_Home,starplayer_No
1890,24,2.5,3.1,3.1,2009,14,4,8,3,25,16,4,3,0,1,35,3,12,1,54.0,46.0,0,0,1,0
1891,24,1.61,3.7,6.0,2009,9,4,9,5,12,11,1,1,0,0,36,7,6,2,50.0,50.0,1,0,0,1
1892,24,2.5,3.3,2.87,2009,6,12,2,5,7,19,0,4,0,0,13,31,3,9,51.0,49.0,1,0,0,1
1893,24,2.6,3.2,2.8,2009,14,10,7,8,14,20,2,4,0,0,35,12,4,3,51.0,49.0,1,0,0,1
1894,24,2.0,3.3,4.0,2009,4,7,1,6,10,8,0,1,0,0,8,20,5,8,48.0,52.0,0,0,0,1
1895,24,2.75,3.3,2.62,2009,5,8,6,4,10,11,0,1,0,0,14,26,2,8,46.0,54.0,0,0,0,1
1896,24,2.2,3.2,3.5,2009,10,4,7,8,14,12,2,4,0,0,30,11,8,6,53.0,47.0,1,0,0,1
1897,24,3.25,3.3,2.25,2009,3,6,4,9,11,10,1,1,1,0,17,18,7,6,43.0,57.0,0,1,0,0
1898,25,1.83,3.5,4.5,2009,6,2,6,3,4,11,2,1,0,1,29,17,2,3,60.0,40.0,0,0,0,1
1899,25,3.0,3.3,2.4,2009,7,1,10,3,14,15,1,2,0,0,15,8,6,4,51.0,49.0,1,0,0,1
1900,25,6.5,3.75,1.57,2009,5,8,8,8,15,9,1,1,0,0,25,32,5,11,47.0,53.0,1,1,0,0
1901,25,1.72,3.4,5.5,2009,8,5,12,3,10,18,1,1,0,0,27,16,8,4,68.0,32.0,0,0,0,1
1902,25,1.61,3.75,6.0,2009,14,5,9,4,7,12,0,1,0,0,21,14,12,3,61.0,39.0,0,0,1,0
1903,25,2.87,3.3,2.5,2009,11,5,6,8,9,9,2,0,0,0,21,23,4,13,50.0,50.0,1,0,0,1
1904,25,2.25,3.3,3.25,2009,4,6,6,5,7,11,2,2,0,0,32,18,3,4,49.0,51.0,1,0,0,1
1905,25,5.0,3.3,1.8,2009,4,4,2,5,12,13,1,0,0,0,12,20,2,4,50.0,50.0,1,0,0,1
1906,25,2.0,3.4,3.8,2009,4,3,7,9,8,11,1,2,0,0,24,19,4,8,54.0,46.0,1,0,0,1
1907,25,1.2,6.0,19.0,2009,12,3,9,9,13,22,1,2,0,0,25,8,13,3,59.0,41.0,1,0,0,1
1908,26,1.25,5.5,13.0,2009,5,6,9,8,9,20,2,2,0,0,16,24,4,6,58.0,42.0,0,0,1,0
1909,26,1.4,4.33,9.0,2009,8,2,9,1,7,12,2,2,0,0,35,9,8,3,64.0,36.0,1,0,0,1
1910,26,1.57,3.75,7.0,2009,7,4,13,4,11,13,1,2,0,0,28,9,6,4,52.0,48.0,1,0,1,0
1911,26,3.3,3.3,2.25,2009,6,9,8,9,10,12,1,3,0,0,28,19,6,11,42.0,58.0,1,1,0,0
1912,26,2.4,3.25,3.0,2009,3,8,4,8,6,15,2,4,0,0,13,10,5,1,53.0,47.0,1,0,0,1
1913,26,2.87,3.25,2.5,2009,1,7,4,10,16,16,0,1,1,0,15,32,0,6,47.0,53.0,1,0,0,1
1914,26,1.8,3.5,4.75,2009,10,7,12,4,12,9,0,1,0,0,18,17,12,4,54.0,46.0,0,0,0,1
1915,26,2.3,3.3,3.1,2009,6,9,4,8,19,14,0,2,0,0,17,35,4,13,46.0,54.0,0,0,0,1
1916,26,3.0,3.3,2.37,2009,3,6,10,4,16,9,2,1,0,0,32,19,11,13,47.0,53.0,1,0,0,1
1917,26,2.5,3.25,2.87,2009,2,3,3,3,7,11,1,3,0,0,23,26,2,3,54.0,46.0,1,0,0,1
1918,27,1.25,5.5,13.0,2009,12,2,6,3,10,8,1,0,0,0,18,9,6,2,52.0,48.0,0,0,1,0
